2,Сергей Мальцев,75,72339
6,Кирилл Уваров,52,96959
8,Ксения Галкина,45,69714
9,Борис Гуров,44,98020
10,Владимир Фирсов,69,90561
12,Анастасия Макаров,33,87082
13,Алексей Афанасьев,42,71814
14,Каролина Петрова,45,64781
17,Игорь Лазарев,75,68869
18,Наталья Михайлов,49,91990
20,Илья Алешин,74,87923
21,Ибрагим Чернышев,57,96888
22,Полина Зайцева,56,86755
26,Анна Гаврилов,53,80350
29,Василиса Макаров,66,78502
35,Святослав Ефимова,70,83824
37,Дмитрий Степанов,51,72827
40,Ибрагим Сафонов,61,69243
41,Андрей Дмитриева,36,96005
42,Елизавета Соловьев,72,63102
43,Кирилл Фирсов,40,98375
46,Александра Широков,37,79875
47,Константин Галкина,56,88814
48,Алиса Петрова,46,84049
50,Олег Богданов,49,71634
53,Светлана Петров,39,61533
58,Екатерина Иванова,73,81679
60,Таисия Муравьев,36,82607
62,Олег Крылова,38,61408
63,Никита Соловьев,71,66567
67,Рустам Васильев,63,87306
71,Семён Петров,77,86716
73,Николь Жуков,47,91840
74,Дарья Смирнов,42,77772
75,Марина Попов,60,75369
77,Нина Царев,67,77742
85,Арсен Широков,43,68976
88,Эмилия Орлов,32,72095
91,Вадим Жуков,77,84160
92,Алиса Широков,46,61245
